_id,MAC_add,neon[0],neon[1],neon[2],neon[3],neon[4],neon[5],neon[6],neon[7],chais[0],chais[1],chais[2],chais[3],chais[4],chais[5],chais[6],chais[7],chais[8],chais[9],chais[10],chais[11],chais[12],chais[13],chais[14],chais[15],chais[16],chais[17],chais[18],chais[19],chais[20],chais[21],chais[22],chais[23],chais[24],chais[25]
e7aeadc2d2054ce9b7db55fc,F0:62:5A:79:95:22,1712391287,,,,,,,,1712391247,,,,,,,,,,,,,,,,,,,,,,,,,
70519ae625144aed87756d47,40:45:DA:D1:4C:FE,1712391334,,,,,,,,1712391303,,,,,,,,,,,,,,,,,,,,,,,,,
18822ddbe0d74ca3be76fc6c,E4:8C:73:B2:18:5C,1712391359,,,,,,,,1712391389,,,,,,,,,,,,,,,,,,,,,,,,,
6dddd8d39b114a5188c9950a,AC:C0:48:13:93:FA,1712391403,,,,,,,,1712391368,,,,,,,,,,,,,,,,,,,,,,,,,
1ee2c454684e449f8ccff78f,43:A6:63:CB:B0:45,1712391455,,,,,,,,1712391377,,,,,,,,,,,,,,,,,,,,,,,,,
fcb1e9e0166a455e92d5333b,D0:49:7C:B3:05:A8,1712391500,,,,,,,,1712391473,,,,,,,,,,,,,,,,,,,,,,,,,
c54f8e50e0814e87b724e4ab,41:42:9B:C1:D1:79,1712391679,,,,,,,,1712391638,,,,,,,,,,,,,,,,,,,,,,,,,
8f5114aff2b142d2ac9112ef,05:33:3B:D1:CD:EA,1712391700,,,,,,,,1712391661,,,,,,,,,,,,,,,,,,,,,,,,,
a6ae26d23f4a43a79981b6bb,A4:CC:B9:DB:D2:5A,1712391824,,,,,,,,1712391797,,,,,,,,,,,,,,,,,,,,,,,,,
15e4651a0b6c4e3e9e6a1df5,7A:45:46:00:00:73,1712391824,,,,,,,,1712391870,,,,,,,,,,,,,,,,,,,,,,,,,
900074410732401bae8411d2,94:8A:C6:7C:46:7A,1712391824,,,,,,,,1712391844,,,,,,,,,,,,,,,,,,,,,,,,,
213ec18a0c804811a4546e03,46:AD:00:F6:37:23,1712391882,,,,,,,,1712391831,,,,,,,,,,,,,,,,,,,,,,,,,
ad10883e966d456286f0032a,58:D6:97:01:09:D8,1712391919,,,,,,,,1712391942,,,,,,,,,,,,,,,,,,,,,,,,,
215ec5b075914e93932d41d7,00:88:00:EB:4B:2A,1712391968,,,,,,,,1712391942,,,,,,,,,,,,,,,,,,,,,,,,,
b9dad478e37c4ef2be7aadf4,41:42:C7:87:1F:DC,1712392155,,,,,,,,1712392124,,,,,,,,,,,,,,,,,,,,,,,,,
b69574819cf94a7e99488ee4,D0:28:BA:1B:97:A4,1712392155,,,,,,,,1712392180,,,,,,,,,,,,,,,,,,,,,,,,,
026bb075415e49529f99e940,85:92:5D:6A:A3:57,1712392233,,,,,,,,1712392209,,,,,,,,,,,,,,,,,,,,,,,,,
dd88f60d2f1949789337eb55,40:44:FD:76:33:AE,1712392272,,,,,,,,1712392294,,,,,,,,,,,,,,,,,,,,,,,,,
c74dc13b38d14ffeb4d0acb9,40:45:DA:4E:6D:B7,1712392298,,,,,,,,1712392272,,,,,,,,,,,,,,,,,,,,,,,,,
10c40880450140e9a4ad7616,B4:A5:AC:48:B6:0E,1712392323,,,,,,,,1712392294,,,,,,,,,,,,,,,,,,,,,,,,,
858c70d3a0f94844b89c1cea,B1:4C:28:5F:73:2F,1712392323,,,,,,,,1712392294,,,,,,,,,,,,,,,,,,,,,,,,,
56c79f956f51416ca33ad81a,2C:A7:EF:87:63:BC,1712392323,,,,,,,,1712392294,,,,,,,,,,,,,,,,,,,,,,,,,
4825d3dfa9424230808770dc,E4:0C:FD:E4:28:B0,1712392374,,,,,,,,1712392354,,,,,,,,,,,,,,,,,,,,,,,,,
9f4e83b824ca4ab6898fdf59,10:82:D7:96:73:0E,1712392374,,,,,,,,1712392354,,,,,,,,,,,,,,,,,,,,,,,,,
d5206bd49b4844d396775174,04:33:85:1E:C9:2F,1712392374,,,,,,,,1712392354,,,,,,,,,,,,,,,,,,,,,,,,,
f8f021c981f64e47b97caabc,30:BB:7D:D6:E7:FE,1712392374,,,,,,,,1712392354,,,,,,,,,,,,,,,,,,,,,,,,,
cb90664cfb8a4ab8ba1c9588,FC:04:1C:DC:C8:8E,1712392374,,,,,,,,1712392354,,,,,,,,,,,,,,,,,,,,,,,,,
69bbd0a1eca54364bcb48886,20:CD:6E:35:67:FC,1712392374,,,,,,,,1712392354,,,,,,,,,,,,,,,,,,,,,,,,,
cc704eed11c6477fb07c555b,40:45:DA:87:78:05,1712392504,,,,,,,,1712392387,,,,,,,,,,,,,,,,,,,,,,,,,
87e67fb89dbf4ff6bb0d9be8,40:45:DA:10:C1:4C,1712392460,,,,,,,,1712392438,,,,,,,,,,,,,,,,,,,,,,,,,
ff1bf6b9924c4fd69891061b,41:42:EC:FA:B2:EA,1712392485,,,,,,,,1712392438,,,,,,,,,,,,,,,,,,,,,,,,,
